1,4,8,9
1,4,4,10
2,3,3,8
2,5,6,6
2,4,7,9
1,1,1,8
2,4,4,6
5,6,6,9
2,5,6,8
1,1,6,8
3,4,4,9
2,7,8,9
2,5,5,8
2,4,9,10
2,2,6,10
2,5,6,9
3,5,9,10
3,5,6,7
4,4,6,8
2,5,9,12
3,4,12,13
2,3,10,12
2,2,11,13
1,5,10,13
4,4,5,12
2,8,10,11
2,4,4,11
1,7,8,11
2,4,10,13
5,8,10,11
4,4,11,13
2,4,6,11
1,6,10,12
2,6,9,12
3,4,11,13
7,8,9,12
6,6,8,13
9,9,12,12
4,5,6,10
3,4,6,9
2,3,6,7
1,3,7,9
2,2,8,8
1,3,5,10
3,5,6,6
2,4,8,10
4,5,10,10
1,2,6,9
3,3,5,5
2,12,12,13
4,9,10,13
3,7,12,12
2,9,9,13
2,4,7,11
2,3,8,11
2,7,8,11
2,5,8,12
5,6,9,11
2,2,7,12
6,7,12,12
8,9,10,13
1,3,4,13
3,5,12,13
1,1,2,13
6,8,11,11
1,4,6,11
2,11,12,13
3,5,10,12
1,6,7,9
4,4,10,10
2,5,7,10
1,3,3,10
5,5,6,6
2,4,8,10
4,5,10,10
1,2,6,9
3,3,5,5
3,5,5,6
3,3,3,10
3,5,8,9
6,6,7,10
4,5,9,10
3,6,6,8
3,6,8,10
2,3,6,6
1,3,9,10
1,5,9,13
6,8,9,11
10,12,12,13
4,7,10,12
1,3,4,13
5,5,8,13
4,5,6,11
4,5,11,11
2,10,11,13
1,2,12,13
3,8,11,12
5,5,11,11
4,4,4,11
2,4,6,12
